Starting State,First Event,Distribution,Parameter 1,Parameter 2,Parameter 3,Total Probability,Probability at t = 15,Median Time-to-event,25th Percentile Time,75th Percentile Time
Symptom Onset,Virtual,Log normal,logmean = 1.14,logsd = 0.804,,"0.081 (0.080, 0.083)","0.079 (0.078, 0.081)","3.12 (3.07, 3.18)","1.82 (1.78, 1.85)","5.37 (5.26, 5.47)"
Symptom Onset,Outpatient,Log normal,logmean = 1.28,logsd = 0.781,,"0.127 (0.125, 0.129)","0.123 (0.121, 0.125)","3.59 (3.53, 3.66)","2.12 (2.08, 2.16)","6.09 (5.96, 6.20)"
Symptom Onset,Urgent Care,Generalized gamma,mu = 0.940,sigma = 0.707,Q = -0.440,"0.368 (0.364, 0.373)","0.359 (0.354, 0.363)","2.85 (2.80, 2.90)","1.78 (1.75, 1.82)","4.77 (4.67, 4.87)"
Symptom Onset,Emergency,Log normal,logmean = 1.23,logsd = 0.766,,"0.289 (0.285, 0.293)","0.281 (0.277, 0.285)","3.42 (3.36, 3.48)","2.04 (2.00, 2.08)","5.73 (5.61, 5.84)"
Symptom Onset,Inpatient,Generalized gamma,mu = 1.73,sigma = 0.761,Q = 0.487,"0.034 (0.033, 0.035)","0.032 (0.031, 0.033)","4.97 (4.80, 5.16)","2.83 (2.74, 2.90)","8.21 (7.98, 8.48)"
Symptom Onset,Ventilation,NA/No events,,,,,,,,
Symptom Onset,Death,Exponential,rate = 0.125,,,"0.000 (0.000, 0.001)","0.000 (0.000, 0.001)","5.55 (2.54, 11.99)","2.30 (1.06, 5.33)","11.09 (5.11, 25.69)"
Positive Test,Virtual,Generalized gamma,mu = -2.30,sigma = 0.0443,Q = -18.30,"0.072 (0.070, 0.073)","0.072 (0.070, 0.073)","0.17 (0.17, 0.18)","0.12 (0.12, 0.13)","0.30 (0.29, 0.31)"
Positive Test,Outpatient,Log normal,logmean = -1.95,logsd = 1.22,,"0.122 (0.120, 0.124)","0.122 (0.120, 0.124)","0.14 (0.14, 0.15)","0.06 (0.06, 0.06)","0.33 (0.32, 0.33)"
Positive Test,Urgent Care,Generalized gamma,mu = -2.30,sigma = -0.00314,Q = -17.9,"0.370 (0.366, 0.375)","0.370 (0.366, 0.375)","0.10 (0.10, 0.11)","0.10 (0.10, 0.10)","0.11 (0.11, 0.11)"
Positive Test,Emergency,Generalized gamma,mu = -2.30,sigma = 0.00431,Q = -13.30,"0.322 (0.318, 0.327)","0.322 (0.318, 0.327)","0.10 (0.10, 0.11)","0.10 (0.10, 0.10)","0.11 (0.11, 0.11)"
