Starting State,First Event,Distribution,Parameter 1,Parameter 2,Parameter 3,Total Probability,Median Time-to-event,25th Percentile Time,75th Percentile Time
Symptom Onset,Virtual,Log normal,logmean = 1.13,logsd = 0.810,,"10.7 (10.5, 10.9)","3.08 (3.01, 3.15)","1.78 (1.74, 1.83)","5.32 (5.18, 5.46)"
Symptom Onset,Outpatient,Generalized gamma,mu = 1.20,sigma = 0.836,Q = -0.361,"7.4 (7.3, 7.6)","3.66 (3.01, 3.15)","2.11 (2.05, 2.16)","6.66 (6.46, 6.87)"
Symptom Onset,Urgent Care,Log normal,logmean = 1.13,logsd = 0.761,,"18.6 (18.2, 19.0)","3.09 (3.02, 3.16)","1.85 (1.81, 1.90)","5.16 (5.03, 5.31)"
Symptom Onset,Emergency,Log normal,logmean = 1.26,logsd = 0.833,,"17.9 (17.6, 18.3)","3.54 (3.46, 3.63)","2.02 (1.96, 2.07)","6.21 (6.05, 6.38)"
Symptom Onset,Inpatient,Gamma,shape = 1.77,rate = 0.275,,"4.7 (4.6, 4.8)","5.27 (5.09, 5.47)","2.89 (2.76, 3.02)","8.73 (8.46, 9.02)"
Symptom Onset,Ventilation,Log normal,logmean = 0.79,logsd = 0.857,,"0.0 (0.0, 0.0)","2.20 (1.31, 3.70)","1.24 (0.67, 2.20)","3.93 (2.21, 7.07)"
Symptom Onset,Death,Log normal,logmean = 2.05,logsd = 0.991,,"0.1 (0.1, 0.1)","7.78 (5.80, 10.41)","3.99 (2.96, 5.38)","15.17 (11.31, 20.53)"
Positive Test,Virtual,Log normal,logmean = -0.543,logsd = 1.82,,"10.7 (10.5, 10.9)","3.08 (3.01, 3.15)","1.78 (1.74, 1.83)","5.32 (5.18, 5.46)"
Positive Test,Outpatient,Log normal,logmean = -1.13,logsd = 2.11,,"7.4 (7.3, 7.6)","3.66 (3.01, 3.15)","2.11 (2.05, 2.16)","6.66 (6.46, 6.87)"
Positive Test,Urgent Care,Log normal,logmean = -2.01,logsd = 1.14,,"18.6 (18.2, 19.0)","3.09 (3.02, 3.16)","1.85 (1.81, 1.90)","5.16 (5.03, 5.31)"
