Starting State,First Event,Distribution,Parameter 1,Parameter 2,Parameter 3,Total Probability,Median Time-to-event,25th Percentile Time,75th Percentile Time
Symptom Onset,Virtual,Gamma,shape = 2.10,rate = 0.330,,"6.1 (5.6, 6.6)","5.39 (5.19, 5.58)","3.14 (2.80, 3.42)","8.55 (8.01, 9.11)"
Symptom Onset,Outpatient,Gamma,shape = 2.12,rate = 0.393,,"12.7 (12.2, 13.1)","4.58 (4.40, 4.74)","2.68 (2.46, 2.88)","7.24 (6.85, 7.61)"
Symptom Onset,Urgent Care,Log normal,logmean = 1.40,logsd = 0.751,,"10.6 (10.2, 11.0)","4.07 (3.98, 4.18)","2.45 (2.39, 2.52)","6.76 (6.59, 6.95)"
Symptom Onset,Emergency,Log normal,logmean = 1.43,logsd = 0.703,,"37.8 (37.2, 38.4)","4.18 (4.08, 4.28)","2.60 (2.53, 2.68)","6.72 (6.54, 6.91)"
Symptom Onset,Inpatient,Log normal,logmean = 1.56,logsd = 0.677,,"18.7 (18.1, 19.2)","4.74 (4.63, 4.85)","3.00 (2.92, 3.09)","7.48 (7.29, 7.69)"
Symptom Onset,Recovered,,,,,"14.2 (12.6, 15.9)",– –,– –,– –
Positive Test,Virtual,Gamma,shape = 0.534,rate = 0.121,,"5.9 (4.9, 7.1)","2.13 (2.04, 2.21)","0.52 (0.41, 0.61)","5.93 (5.13, 6.73)"
Positive Test,Outpatient,Log normal,logmean = -1.27,logsd = 1.72,,"18.1 (17.6, 18.6)","0.28 (0.23, 0.34)",<0.2,"0.90 (0.74, 1.09)"
Positive Test,Urgent Care,Log normal,logmean = -2.07,logsd = 0.89,,"9.3 (8.5, 10.0)",<0.2,<0.2,<0.2
Positive Test,Emergency,Generalized gamma,mu = -2.30,sigma = 0.00358,Q = -14.70,"36.2 (35.7, 36.7)",<0.2,<0.2,<0.2
Positive Test,Inpatient,Log normal,logmean = -2.04,logsd = 1.04,,"14.4 (13.9, 14.9)",<0.2,<0.2,<0.2
Positive Test,Recovered,,,,,"16.0 (14.4, 17.8)",– –,– –,– –
Virtual,Outpatient,Gamma,shape = 0.665,rate = 0.125,,"18.0 (14.6, 22.6)","3.00 (2.85, 3.10)","0.91 (0.68, 1.10)","7.27 (6.22, 8.28)"
Virtual,Urgent Care,Log normal,logmean = -0.803,logsd = 1.76,,"5.1 (3.3, 7.7)","0.45 (0.20, 0.91)","0.14 (0.06, 0.33)","1.47 (0.64, 3.56)"
Virtual,Emergency,Weibull,shape = 0.713,scale = 1.99,,"15.2 (11.9, 19.1)","1.19 (0.78, 1.80)","0.35 (0.21, 0.57)","3.15 (2.29, 4.33)"
Virtual,Inpatient,Exponential,rate = 0.540,,,"4.4 (2.7, 7.1)","1.28 (0.80, 2.01)","0.53 (0.33, 0.89)","2.57 (1.61, 4.29)"
Virtual,Recovered,,,,,"57.3 (52.2, 61.6)",– –,– –,– –
Outpatient,Urgent Care,Gamma,shape = 0.479,rate = 0.120,,"7.1 (5.3, 9.4)","1.76 (0.99, 2.74)","0.37 (0.15, 0.79)","5.27 (3.40, 8.11)"
Outpatient,Emergency,Log normal,logmean = -0.252,logsd = 1.74,,"16.6 (14.0, 19.5)","0.78 (0.57, 1.07)","0.24 (0.17, 0.34)","2.52 (1.80, 3.53)"
Outpatient,Inpatient,Log normal,logmean = -0.725,logsd = 1.88,,"11.3 (9.1, 13.9)","0.48 (0.32, 0.74)",<0.2,"1.72 (1.15, 2.59)"
Outpatient,Recovered,,,,,"65.0 (61.5, 68.4)",– –,– –,– –
Urgent Care,Emergency,Log normal,logmean = -0.598,logsd = 1.57,,"29.4 (24.8, 34.6)","0.55 (0.41, 0.74)","0.19 (0.14, 0.26)","1.58 (1.16, 2.12)"
Urgent Care,Inpatient,Log normal,logmean = -1.02,logsd = 1.50,,"17.5 (13.8, 21.8)","0.36 (0.25, 0.53)",<0.2,"0.99 (0.69, 1.43)"
Urgent Care,Recovered,,,,,"53.1 (47.7, 58.4)",– –,– –,– –
Emergency,Inpatient,Log normal,logmean = -0.472,logsd = 1.57,,"16.2 (15.9, 16.4)","0.62 (0.48, 0.82)","0.22 (0.17, 0.28)","1.80 (1.37, 2.35)"
Emergency,Ventilation,Gompertz,shape = 47.0,rate = 0.432,,"0.1 (0.0, 0.8)","0.09 (0.00, 0.15)",<0.2,"0.11 (0.00, 0.20)"
Emergency,Death,Exponential,rate = 0.121,,,"0.5 (0.2, 1.2)","5.72 (2.10, 15.00)","2.37 (0.88, 7.35)","11.44 (4.24, 35.41)"
Emergency,Recovered,,,,,"83.2 (82.3, 83.7)",– –,– –,– –
Inpatient,Ventilation,Gamma,shape = 0.709,rate = 0.201,,"6.5 (4.6, 8.9)","2.07 (1.23, 3.09)","0.66 (0.29, 1.26)","4.84 (3.23, 7.12)"
Inpatient,Death,Gompertz,shape = 0.231,rate = 0.0261,,"1.7 (0.8, 3.2)","8.51 (4.81, 10.14)","5.48 (1.99, 7.97)","11.20 (7.92, 12.05)"
Inpatient,Recovered,,,,,"91.9 (89.1, 93.9)",– –,– –,– –
Ventilation,Death,Gompertz,shape = 0.402,rate = 0.0267,,"12.8 (5.3, 27.7)","6.07 (2.24, 7.10)","4.17 (0.99, 5.91)","7.68 (4.42, 8.14)"
Ventilation,Recovered,,,,,"87.2 (72.3, 94.7)",– –,– –,– –
